4K3/8/8/8/5R2/8/8/k7 w - - 0 1,19
4K3/8/8/8/5R2/8/8/k7 b - - 0 1,-24
2R1K3/8/8/8/8/8/8/k7 w - - 0 1,15
2R1K3/8/8/8/8/8/8/k7 b - - 0 1,-20
4K3/8/8/8/8/5R2/8/k7 w - - 0 1,19
4K3/8/8/8/8/5R2/8/k7 b - - 0 1,-26
4K3/3R4/8/8/8/8/8/k7 w - - 0 1,15
4K3/3R4/8/8/8/8/8/k7 b - - 0 1,-24
4K3/8/8/8/8/1R6/8/k7 w - - 0 1,15
4K3/8/8/8/8/1R6/8/k7 b - - 0 1,-18
4K3/8/8/8/8/7R/8/k7 w - - 0 1,19
4K3/8/8/8/8/7R/8/k7 b - - 0 1,-24
R3K3/8/8/8/8/8/8/k7 b - - 0 1,-24
4K3/7R/8/8/8/8/8/k7 w - - 0 1,15
4K3/7R/8/8/8/8/8/k7 b - - 0 1,-24
4K3/8/8/8/8/4R3/8/k7 w - - 0 1,19
4K3/8/8/8/8/4R3/8/k7 b - - 0 1,-26
4K3/8/8/3R4/8/8/8/k7 w - - 0 1,15
4K3/8/8/3R4/8/8/8/k7 b - - 0 1,-20
4K3/8/8/8/8/8/8/k3R3 b - - 0 1,-26
4K3/8/6R1/8/8/8/8/k7 w - - 0 1,15
4K3/8/6R1/8/8/8/8/k7 b - - 0 1,-24
4K3/8/8/8/8/8/3R4/k7 w - - 0 1,19
4K3/8/8/8/8/8/3R4/k7 b - - 0 1,-22
4K3/1R6/8/8/8/8/8/k7 w - - 0 1,15
4K3/1R6/8/8/8/8/8/k7 b - - 0 1,-14
1R2K3/8/8/8/8/8/8/k7 w - - 0 1,15
1R2K3/8/8/8/8/8/8/k7 b - - 0 1,-14
8/K7/8/8/5R2/8/8/k7 w - - 0 1,13
8/K7/8/8/5R2/8/8/k7 b - - 0 1,-20
2R5/K7/8/8/8/8/8/k7 w - - 0 1,13
2R5/K7/8/8/8/8/8/k7 b - - 0 1,-16
8/K7/8/8/8/5R2/8/k7 w - - 0 1,15
8/K7/8/8/8/5R2/8/k7 b - - 0 1,-22
8/K2R4/8/8/8/8/8/k7 w - - 0 1,13
8/K2R4/8/8/8/8/8/k7 b - - 0 1,-18
8/K7/8/8/8/1R6/8/k7 w - - 0 1,13
8/K7/8/8/8/1R6/8/k7 b - - 0 1,-14
8/K7/8/8/8/7R/8/k7 w - - 0 1,15
8/K7/8/8/8/7R/8/k7 b - - 0 1,-24
4R3/K7/8/8/8/8/8/k7 w - - 0 1,13
4R3/K7/8/8/8/8/8/k7 b - - 0 1,-18
R7/K7/8/8/8/8/8/k7 w - - 0 1,13
R7/K7/8/8/8/8/8/k7 b - - 0 1,-18
8/K6R/8/8/8/8/8/k7 w - - 0 1,13
8/K6R/8/8/8/8/8/k7 b - - 0 1,-18
8/K7/8/8/8/4R3/8/k7 w - - 0 1,15
8/K7/8/8/8/4R3/8/k7 b - - 0 1,-22
8/K7/8/3R4/8/8/8/k7 w - - 0 1,13
8/K7/8/3R4/8/8/8/k7 b - - 0 1,-18
8/K7/8/8/8/8/8/k3R3 b - - 0 1,-24
8/K7/6R1/8/8/8/8/k7 w - - 0 1,13
8/K7/6R1/8/8/8/8/k7 b - - 0 1,-18
8/K7/8/8/8/8/3R4/k7 w - - 0 1,17
8/K7/8/8/8/8/3R4/k7 b - - 0 1,-18
8/KR6/8/8/8/8/8/k7 w - - 0 1,13
8/KR6/8/8/8/8/8/k7 b - - 0 1,-12
1R6/K7/8/8/8/8/8/k7 w - - 0 1,13
1R6/K7/8/8/8/8/8/k7 b - - 0 1,-12
6K1/8/8/8/5R2/8/8/k7 w - - 0 1,19
6K1/8/8/8/5R2/8/8/k7 b - - 0 1,-26
2R3K1/8/8/8/8/8/8/k7 w - - 0 1,19
2R3K1/8/8/8/8/8/8/k7 b - - 0 1,-24
6K1/8/8/8/8/5R2/8/k7 w - - 0 1,19
6K1/8/8/8/8/5R2/8/k7 b - - 0 1,-26
6K1/3R4/8/8/8/8/8/k7 w - - 0 1,19
6K1/3R4/8/8/8/8/8/k7 b - - 0 1,-26
6K1/8/8/8/8/1R6/8/k7 w - - 0 1,19
6K1/8/8/8/8/1R6/8/k7 b - - 0 1,-18
6K1/8/8/8/8/7R/8/k7 w - - 0 1,19
6K1/8/8/8/8/7R/8/k7 b - - 0 1,-24
4R1K1/8/8/8/8/8/8/k7 w - - 0 1,19
4R1K1/8/8/8/8/8/8/k7 b - - 0 1,-26
R5K1/8/8/8/8/8/8/k7 b - - 0 1,-26
6K1/7R/8/8/8/8/8/k7 w - - 0 1,19
6K1/7R/8/8/8/8/8/k7 b - - 0 1,-26
6K1/8/8/8/8/4R3/8/k7 w - - 0 1,19
6K1/8/8/8/8/4R3/8/k7 b - - 0 1,-26
6K1/8/8/3R4/8/8/8/k7 w - - 0 1,19
6K1/8/8/3R4/8/8/8/k7 b - - 0 1,-24
6K1/8/8/8/8/8/8/k3R3 b - - 0 1,-28
6K1/8/6R1/8/8/8/8/k7 w - - 0 1,19
6K1/8/6R1/8/8/8/8/k7 b - - 0 1,-26
6K1/8/8/8/8/8/3R4/k7 w - - 0 1,19
6K1/8/8/8/8/8/3R4/k7 b - - 0 1,-22
6K1/1R6/8/8/8/8/8/k7 w - - 0 1,15
6K1/1R6/8/8/8/8/8/k7 b - - 0 1,-18
1R4K1/8/8/8/8/8/8/k7 w - - 0 1,15
1R4K1/8/8/8/8/8/8/k7 b - - 0 1,-18
