8/8/2R5/8/8/8/8/k2K4 w - - 0 1,3
8/8/2R5/8/8/8/8/k2K4 b - - 0 1,-18
8/8/8/8/8/8/6R1/k2K4 w - - 0 1,5
8/8/8/8/8/8/6R1/k2K4 b - - 0 1,-8
8/8/8/8/8/8/3R4/k2K4 w - - 0 1,5
8/8/8/8/8/8/3R4/k2K4 b - - 0 1,-8
8/8/8/8/R7/8/8/k2K4 b - - 0 1,-12
8/8/8/8/1R6/8/8/k2K4 w - - 0 1,3
8/8/8/8/1R6/8/8/k2K4 b - - 0 1,-6
8/8/8/8/8/1R6/8/k2K4 w - - 0 1,5
8/8/8/8/8/1R6/8/k2K4 b - - 0 1,-4
8/8/5R2/8/8/8/8/k2K4 w - - 0 1,3
8/8/5R2/8/8/8/8/k2K4 b - - 0 1,-10
8/8/8/8/1R6/8/8/k2K4 w - - 0 1,3
8/8/8/8/1R6/8/8/k2K4 b - - 0 1,-6
8/8/8/8/8/R7/8/k2K4 b - - 0 1,-10
8/8/8/8/8/8/4R3/k2K4 w - - 0 1,5
8/8/8/8/8/8/4R3/k2K4 b - - 0 1,-8
8/4R3/8/8/8/8/8/k2K4 w - - 0 1,3
8/4R3/8/8/8/8/8/k2K4 b - - 0 1,-10
8/8/8/2R5/8/8/8/k2K4 w - - 0 1,3
8/8/8/2R5/8/8/8/k2K4 b - - 0 1,-18
3R4/8/8/8/8/8/8/k2K4 w - - 0 1,3
3R4/8/8/8/8/8/8/k2K4 b - - 0 1,-10
8/8/8/8/8/8/8/kR1K4 b - - 0 1,0
8/8/8/8/8/8/8/k2K3R w - - 0 1,5
8/8/8/8/8/8/8/k2K3R b - - 0 1,-10
8/8/2R5/8/8/8/8/k2K4 w - - 0 1,3
8/8/2R5/8/8/8/8/k2K4 b - - 0 1,-18
8/8/8/8/5R2/8/8/k2K4 w - - 0 1,3
8/8/8/8/5R2/8/8/k2K4 b - - 0 1,-10
8/4R3/8/8/8/8/8/k2K4 w - - 0 1,3
8/4R3/8/8/8/8/8/k2K4 b - - 0 1,-10
8/8/8/8/8/6R1/8/k2K4 w - - 0 1,5
8/8/8/8/8/6R1/8/k2K4 b - - 0 1,-8
